"date","Mkt-RF","RMW","dDP","dTS","UNEXPI","RF"
"199806",3.18,-0.52,-0.141929091285184,-0.299025325159085,-0.101607910790644,0.405818470758934
"199807",-2.46,1.82,-0.0161997360128525,-0.246308085330612,-0.288625369352468,0.404224284774379
"199808",-16.08,3.47,-0.0119076583912817,0.0341356690386743,0.510963192601216,0.399440055531697
"199809",6.15,-1.51,0.0554717492608034,-0.109301486354435,-0.32531632452696,0.376280860269351
"199810",7.13,0.59,-0.168846423551403,-0.552925207549645,0.0268974890895917,0.324157790263446
"199811",6.1,-1.24,0.0850858510613059,-0.632439496954429,-0.520314250294734,0.360274687304729
"199812",6.16,-0.75,-0.135079324356814,-0.0376807788531445,0.444839335568248,0.358672524566694
"199901",3.5,-2.69,0.165324235402141,-0.325687719800533,-0.686904500849136,0.354665886361372
"199902",-4.08,-1.71,0.00409079546266103,-0.110794380572556,-0.342825734356133,0.36267740400886
"199903",3.45,-4.2,-0.0997307099045193,0.0982129518981286,-0.432787037214433,0.36267740400886
"199904",4.33,-2.42,0.200088218008926,-0.0358673208907475,-0.776315286402084,0.35065748777714
"199905",-2.46,1.09,0.0632960977854857,0.208987656025471,-0.0640893098522777,0.367480940043685
"199906",4.77,1.32,-0.0682030035530221,-0.140825954092769,0.782738006702147,0.373081871118686
"199907",-3.49,0.49,-0.000241927356101398,-0.0303618062851743,0.0836955007874375,0.371481955883124
"199908",-1.38,-0.3,-0.078862405991635,-0.132487724085541,-0.078369923203186,0.385072302357004
"199909",-2.79,-0.72,-0.00336485962240611,0.0168367995747432,0.100972953904711,0.381876394188874
"199910",6.12,-1.72,-0.133504977299519,-0.345312250824448,-0.357040259046976,0.39624917561103
"199911",3.37,-3.85,0.213335769256134,-0.124681632302086,-0.338118521286416,0.41298886422021
"199912",7.72,-7.91,-0.134158328832362,-0.447144903371525,0.247969134888381,0.423336165926491
"200001",-4.74,-6.05,0.0404550252176993,0.162137908126121,-0.187103354494512,0.432877123312592
"200002",2.45,-18.34,-0.0725112543917828,-0.0545349851136398,0.368336769649332,0.451136138047237
"200003",5.2,11.67,0.0659233199606912,-0.0660061455235113,0.124709732079908,0.462232472270219
"200004",-6.4,7.55,-0.0418692262178698,-0.346225603903445,-0.00355155139520853,0.459855821103505
"200005",-4.42,4.64,0.14002355923786,0.186763686121753,0.137477331023116,0.470150179126794
"200006",4.64,-6.83,-0.0443075682160482,-0.36635005612078,0.138238927501509,0.462232472270219
"200007",-2.51,6,0.00623903713809222,-0.0460044271628062,0.169602841702486,0.483594549017563
"200008",7.03,-3.07,-0.327675884426958,-0.132140600913384,-0.340567909800498,0.493862203119688
"200009",-5.45,3.08,-0.0137130093184183,-0.432325039361008,0.103433548690712,0.486755056534305
"200010",-2.76,9.66,0.137641361938734,-0.382518705294776,-0.18470755266025,0.495440818448101
"200011",-10.72,13.33,0.114580406134936,-0.430903251502972,0.500365711505144,0.50017502848112
"200012",1.19,1.85,-0.142577329967429,-0.179209789070491,0.635665948272334,0.468567186768754
"200101",3.13,-4.44,0.130943339871156,0.601084481226069,0.127492714283028,0.419357822337552
"200102",-10.05,9,-0.0641010601051744,-0.0915822769390443,0.146432179076882,0.397844755015164
"200103",-7.26,3.41,0.0767344542603595,0.119454133936312,0.507800875758593,0.361075663180244
"200104",7.94,-2.72,-0.137827541799468,-0.391717889331396,0.120877798718723,0.316917217891932
"200105",0.72,0.18,-0.091287059831367,-0.209939594563588,0.11756708370816,0.296774300570291
"200106",-1.94,2.03,-0.0376468587621392,0.0406768131026347,0.0877788138375623,0.286282371656443
"200107",-2.13,7.16,-0.114397803407375,0.125891708502018,-0.177577066643758,0.287897300644313
"200108",-6.46,3.95,-0.0912562886219372,0.338058886898856,0.210604909920121,0.275778354533185
"200109",-9.25,4.96,0.030929930530199,-0.037174448430207,-0.477658270540629,0.217382052255277
"200110",2.46,-2.66,0.0300863099133158,0.38806941014087,0.199279364351851,0.178242210721802
"200111",7.54,-3.76,-0.0701997980999336,-0.056687080078098,-0.0394849493739995,0.15451345433195
"200112",1.61,0.3,0.0676744153295901,0.219343091181729,0.487447720069599,0.139754096939071
"200201",-1.44,4.35,-0.0624469816420745,0.219518400831245,-0.289660401127491,0.13647098773526
"200202",-2.29,7.62,0.0726301959708547,0.192716053078852,0.150921636396814,0.14221565206407
"200203",4.24,-1.36,-0.0109530533071422,0.192762209383267,0.208380716782775,0.147956693705464
"200204",-5.2,4.57,-0.0486641957768162,0.593979676240621,0.216736048384402,0.141395207640027
"200205",-1.38,2.27,-0.0666334528514901,0.318860837091264,-0.121674894954897,0.143036022555743
"200206",-7.21,3.62,0.096175256237865,0.25833017133628,-0.329158660218185,0.140574689269668
"200207",-8.18,4.19,0.0191021440303328,-0.0617342936392645,-0.099480264455461,0.138933430634269
"200208",0.5,1.15,0.102829642570971,0.375283317024222,-0.337432265626048,0.1340078785663
"200209",-10.35,3.24,-0.0643399859458439,-0.0837751803015548,-0.127131174829293,0.134828989009228
"200210",7.84,-3.28,-0.0013997308617778,-0.36019884882539,-0.324228435989575,0.130722695935992
"200211",5.96,-9.13,0.0626991302919251,0.114980477052062,0.224079992858835,0.101926656801177
"200212",-5.76,6.04,-0.0398579219123381,0.32840938607039,-0.287689341523661,0.0986298719130696
"200301",-2.57,-0.63,-0.043223684520802,0.0316066782691148,0.175383825098038,0.0969810314674024
"200302",-1.88,1.04,-0.00432327459112685,0.0267010181055104,0.0521039394598933,0.0969810314674024
"200303",1.09,1.8,0.0439722719183007,0.0192177456939051,0.00362807421919657,0.0936824540069159
"200304",8.22,-4.57,0.047890523440754,-0.245000512034584,-0.0839526038516783,0.0936824540069159
"200305",6.05,-6.92,0.218239096352321,0.17048957730173,-0.257230660351372,0.0887323446935318
"200306",1.42,0.55,0.092469793322815,-0.0666748605584877,-0.60250011190141,0.0763452763881345
"200307",2.35,-4.17,-0.0717205428499668,0.243460639473284,0.288627006807001,0.0746923923138798
"200308",2.34,-2.46,-0.0335937364829993,0.410521566011257,-0.00241920512894585,0.0788240395869666
"200309",-1.24,1.34,-0.0147797203678893,0.389463987492152,-0.384759364633412,0.0779978602233555
"200310",6.08,-1.59,-0.173927598298643,0.147921506803174,0.215310435320438,0.0763452763881345
"200311",1.35,0.08,-0.0485194510657215,0.321144481311415,-0.0617649096580188,0.0771716058284966
"200312",4.29,0,0.034281013301687,0.507535410691901,-0.366775852762601,0.0746923923138798
"200401",2.15,-3.53,-0.0426794507202262,0.360525321384003,0.127506807388042,0.0730392078865272
"200402",1.4,2.28,-0.0156103330280221,-0.162474997609855,0.0820412311127934,0.0771716058284966
"200403",-1.32,1.5,0.0219845559345171,0.291574753489387,-0.0611768033032465,0.0779978602233555
"200404",-1.83,3.31,0.0418929787401318,0.0138629767791598,-0.189788428168991,0.0779978602233555
"200405",1.17,-0.97,0.00251705925364873,0.263524600640434,0.175441652473093,0.084605195453169
"200406",1.86,1.12,0.00932603940981201,-0.0564724466888044,0.319760608730826,0.10522224777223
"200407",-4.06,5.08,0.0937465713889151,0.033252282328633,0.324654602342605,0.110163397610763
"200408",0.08,1.3,0.0222647215091552,-0.0823101673159476,-0.0970854541829422,0.122504548454105
"200409",1.6,-1.34,-0.0417079272345371,-0.0811995533771367,0.0219244959423211,0.13647098773526
"200410",1.43,-0.07,-0.0656589354267464,-0.0211497820865762,-0.0287117800733622,0.145496690575708
"200411",4.54,-1.06,-0.0210179353475582,0.173441525678255,-0.0148720466305001,0.170884728722887
"200412",3.43,-1.26,-0.0625829030533898,0.181730463889338,-0.220559323860996,0.18069338440696
"200501",-2.76,3.05,-0.00402309761396709,-0.255794400026467,0.313184119555549,0.192123480368322
"200502",1.89,1.2,-0.104397916892412,0.0517090641123261,0.526094036491716,0.209241775441948
"200503",-1.97,0.47,0.00977953614546025,0.151163095169821,0.265267832502718,0.225515062319714
"200504",-2.61,0.96,0.0207505103923389,-0.105039772940015,0.161408025109614,0.228766234692412
